date,fr_gb,gb_fr,fr_cwe,cwe_fr,fr_ch,ch_fr,fr_it,it_fr,fr_es,es_fr,export_france,import_france
2010-12-05,1675.0,-51.0,21.0,-3658.0,3386.0,-706.0,1632.0,-190.0,3.0,-632.0,6717.0,-5237.0
2005-02-18,50.0,-725.0,2422.0,-3415.0,2607.0,-517.0,2391.0,0.0,506.0,-87.0,7976.0,-4744.0
2010-12-06,1280.0,-1966.0,682.0,-3888.0,3315.0,-1035.0,1538.0,-295.0,2.0,-600.0,6817.0,-7784.0
2005-02-19,1729.0,0.0,2257.0,-6347.0,2946.0,-578.0,2292.0,0.0,1331.0,-12.0,10555.0,-6937.0
2010-12-07,895.069,-150.0,2221.0,-1147.0,2806.0,-2818.0,990.0,-808.0,2.0,-600.0,6914.0689999999995,-5523.0
2005-02-20,1975.0,0.0,2263.0,-6413.0,2946.0,-749.0,2469.0,0.0,1381.0,-12.0,11034.0,-7174.0
2010-12-08,802.0,0.0,2705.0,-943.0,3328.0,-1149.0,1278.0,-228.0,3.0,-633.0,8116.0,-2953.0
2005-02-21,1796.0,0.0,2132.0,-6170.0,2360.0,-847.0,2469.0,0.0,1274.0,-12.0,10031.0,-7029.0
2010-12-09,1541.0,0.0,1144.0,-3005.0,3377.0,-1481.0,916.0,-195.0,102.0,-632.0,7080.0,-5313.0
2005-02-22,230.0,-650.0,2935.0,-4603.0,1924.0,-1389.0,2657.0,0.0,1020.0,-6.0,8766.0,-6648.0
2005-02-23,1856.0,0.0,2302.0,-6400.0,2187.0,-1103.0,2469.0,0.0,1256.0,-12.0,10070.0,-7515.0
2010-12-10,660.0,-585.0,731.0,-3337.0,3396.0,-502.0,1511.0,-750.0,2.0,-632.0,6300.0,-5806.0
2005-02-24,1253.0,0.0,2232.0,-5523.0,2240.0,-1256.0,2329.0,0.0,729.0,-15.0,8783.0,-6794.0
2010-12-11,1828.0,-93.0,1.0,-3416.0,3393.0,-143.0,2021.0,-110.0,257.0,-652.0,7500.0,-4414.0
2005-02-25,1851.0,0.0,2209.0,-5879.0,2946.0,-1740.0,2469.0,0.0,783.0,-24.0,10258.0,-7643.0
2010-12-12,1884.0,0.0,644.0,-3288.0,3409.0,-322.0,1496.0,-145.0,752.0,-114.0,8185.0,-3869.0
2005-02-26,1998.0,-1.0,2182.0,-6272.0,2925.0,-1541.0,2329.0,-200.0,805.0,-15.0,10239.0,-8029.0
2010-12-13,1077.0,-1241.875,947.0,-857.0,3441.0,-790.0,1337.0,-187.0,29.0,-439.0,6831.0,-3514.875
2005-02-27,1998.0,0.0,2164.0,-5833.0,2875.0,-1392.0,2329.0,-200.0,1105.0,-15.0,10471.0,-7440.0
2010-12-14,50.0,-1426.0,329.0,-2863.0,3403.0,-933.0,1165.0,-305.0,2.0,-632.0,4949.0,-6159.0
2005-02-28,1203.0,-279.0,2088.0,-4557.0,1682.0,-1169.0,2257.0,-200.0,503.0,-624.0,7733.0,-6829.0
2005-03-01,811.0,-198.0,2004.0,-5686.0,2552.0,-2570.0,2295.0,0.0,507.0,-434.0,8169.0,-8888.0
2010-12-15,0.0,-2000.958,94.0,-3538.0,3464.0,-789.0,1217.0,-506.0,2.0,-632.0,4777.0,-7465.9580000000005
2005-03-02,97.5,-1003.0,2049.0,-5324.0,2956.0,-838.0,2334.0,-75.0,832.0,-24.0,8268.5,-7264.0
2019-10-31,1222.0,-327.0,455.3,-887.2,296.2,-305.9,2728.0,0.0,691.3,-366.2,5392.0,-1885.0
2019-11-01,2000.0,0.0,4948.0,-168.7,2161.0,-1373.9,1660.0,0.0,434.6,-634.5,11203.0,-2175.0
2005-03-03,747.5,-120.0,2008.0,-6163.0,2996.0,-1867.0,2288.0,-300.0,1282.0,-10.0,9321.5,-8460.0
2005-03-04,297.0,-446.0,2624.0,-6622.0,3194.0,-2394.0,2597.0,-400.0,505.0,-670.0,9217.0,-10532.0
2019-11-02,2000.0,-593.0,2690.25,-95.5,2849.1,-50.2,2681.0,0.0,1306.2,-104.1,11526.0,-842.0
2010-12-16,3.0,-1084.0,1.0,-4101.0,3447.0,-630.0,1550.0,-417.0,2.0,-632.0,5003.0,-6864.0
2005-03-05,1386.0,-94.0,1652.0,-5960.0,2882.0,-1452.0,2496.0,-100.0,507.0,-411.0,8923.0,-8017.0
